,n_sequences,alignment_length,log_likelihood,aic_score,bic_score,freq_A,freq_R,freq_N,freq_D,freq_C,freq_Q,freq_E,freq_G,freq_H,freq_I,freq_L,freq_K,freq_M,freq_F,freq_P,freq_S,freq_T,freq_W,freq_Y,freq_V,gamma_shape,prop_invariant,insertion_rate,deletion_rate,insertion_events,deletion_events,mean_insertion_length,mean_deletion_length,total_gaps,indel_to_substitution_ratio,n_internal_nodes,max_depth,colless_index,normalized_colless_index
count,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0
mean,86.88607594936708,239.72995780590716,-18551.000632911393,37451.28181097047,38044.011578059064,0.08065569620253163,0.05572025316455695,0.042175527426160334,0.05491181434599156,0.012006751054852317,0.04158185654008438,0.07095864978902953,0.05975738396624473,0.02209324894514768,0.06005780590717301,0.09896708860759491,0.062132911392405066,0.021921518987341775,0.04110759493670886,0.04476455696202532,0.06233375527426162,0.0542029535864979,0.012666244725738397,0.033707594936708864,0.06842700421940928,2.098562447257384,0.02847510548523207,0.16856366494845149,0.18057724704374797,13.08860759493671,13.244725738396625,3.560496172187638,4.432863003945382,10011.852320675105,0.0021737349450790438,84.88607594936708,12.915611814345992,812.0801687763714,0.3056873397643259
std,144.80471835489914,206.75553317150215,27913.547118189093,56305.28627134221,57246.16717454409,0.012677312714847252,0.011450620363774932,0.009117146738814924,0.008042763596579927,0.003591792196005935,0.009616478614619478,0.010277916668788543,0.012617817570642436,0.004770703852377105,0.00879602617785386,0.013076107609556128,0.015085235695188976,0.003948621435668744,0.00600714487341064,0.011685425203943308,0.009126709256632962,0.007639928546034617,0.00473348599361189,0.007087428094010611,0.010960461911311226,6.055677903043215,0.05852919896833048,0.18336724762782985,0.1910709576561783,13.746053245664879,13.451388610060622,2.364752696812676,2.9758276770865923,34358.62616318236,0.0062207173761543045,144.80471835489914,9.191538167389162,2008.8855535531504,0.2626327729036182
min,3.0,12.0,-250481.5569,445.9816,453.7401,0.0232,0.0073,0.0097,0.0131,0.0005,0.0164,0.0241,0.017,0.0027,0.0194,0.0463,0.0149,0.0049,0.0107,0.0011,0.0379,0.0287,0.0015,0.0035,0.029,0.2763,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
25%,14.0,113.0,-22237.6852,6962.9043,7069.951,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,1.1211,0.0,0.050203203442505374,0.06443129520052597,4.0,5.0,1.8321472392638036,2.2901840490797545,186.0,5.925048141016146e-05,12.0,6.0,30.0,0.11877807726864331
50%,36.0,183.0,-10154.9883,20387.9766,20538.7688,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,1.537,0.0148,0.11185682326621924,0.11355695317959467,9.0,9.0,3.0062487562189055,3.757810945273632,1449.0,0.0002819500692059261,34.0,10.0,138.0,0.21940928270042193
75%,96.0,287.0,-3386.4521,44894.5899,45316.9189,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,2.0148,0.028,0.20270270270270271,0.21067415730337077,17.0,17.0,4.57607122982749,5.720089037284363,6570.0,0.0012402673465169158,94.0,18.0,655.0,0.375
max,1029.0,1508.0,-206.9908,505077.1139,514087.026,0.1501,0.1328,0.1226,0.0975,0.0328,0.1071,0.1419,0.1452,0.044,0.1156,0.1678,0.1466,0.0392,0.0677,0.1343,0.1323,0.1017,0.0404,0.0862,0.1546,93.9673,0.4132,1.0,1.0,97.0,80.0,13.97810945273632,17.4726368159204,414085.0,0.056016597510373446,1027.0,63.0,14598.0,1.0
