iter	likelihood	#indels	#substs	rs07:mean_length	rs07:rate	P1/#indels	P1/#substs	P1/likelihood	P1/prior_A	P1/|A|	P1/|indels|	tn93:kappaPur	tn93:kappaPyr	tn93:pi[A]	tn93:pi[C]	tn93:pi[G]	tn93:pi[T]	sigma	prior_A	scale	scale*|T|	scale1	scale1*|T|	|A|	|T|	|indels|	posterior	prior
12	-6.91654214601046E2	15	159	2.161124745225746E0	2.479950820193394E-2	15	159	-6.91654214601046E2	-1.0224566330082487E2	140	31	1.9291375006471203E0	3.51515087443097E0	1.8643273078306957E-1	2.127850292225123E-1	3.918691025069809E-1	2.0891313748743717E-1	1.2491464186314556E-1	-1.0224566330082487E2	2.9870294760499765E0	1.8310256070159767E0	2.9870294760499765E0	1.8310256070159767E0	140	6.129921454398602E-1	31	-8.3600386102851E2	-1.44349646427464E2
13	-6.881115231181143E2	16	157	1.3709545938174847E0	3.7482526243254384E-2	16	157	-6.881115231181143E2	-1.1148428805449394E2	139	29	1.018673161299408E0	2.3309096144970813E0	1.8643273078306957E-1	2.127850292225123E-1	3.918691025069809E-1	2.0891313748743717E-1	1.9930795395493298E-1	-1.1148428805449394E2	3.5692248549916386E0	1.9510849671271775E0	3.5692248549916386E0	1.9510849671271775E0	139	5.466410905433831E-1	29	-8.414586700991424E2	-1.5334714698102817E2
14	-6.917200331664084E2	18	159	1.342146460741342E0	2.640403802835006E-2	18	159	-6.917200331664084E2	-1.1320761764268468E2	136	27	1.3191061830146555E0	2.472479256407439E0	1.8101280552754642E-1	2.3567074399867696E-1	3.8047678294691334E-1	2.0283966752686325E-1	1.442210676657263E-1	-1.1320761764268468E2	4.787979092244279E0	2.1352356868653026E0	4.787979092244279E0	2.1352356868653026E0	136	4.4595760460274886E-1	27	-8.46728544374322E2	-1.550085112079137E2
15	-6.956798012983404E2	15	163	2.8182026303950396E0	2.1943626279564435E-2	15	163	-6.956798012983404E2	-1.0425474829069641E2	136	27	1.1015949194910524E0	1.7249079452310583E0	2.2414942545542513E-1	2.91832733656609E-1	2.8277280556844836E-1	2.0124503531951748E-1	5.130673874180672E-2	-1.0425474829069641E2	1.1391962672288924E0	1.7580746323668681E0	1.1391962672288924E0	1.7580746323668681E0	136	1.5432587719440165E0	27	-8.434277381998459E2	-1.477479369015054E2
16	-6.752676967879422E2	15	146	2.807630592648377E0	2.132746557302629E-2	15	146	-6.752676967879422E2	-1.1117603809641213E2	142	42	1.4470667331996527E0	2.1288735382902177E0	1.758272867314702E-1	3.1000889064176496E-1	3.003846849513584E-1	2.137791376754064E-1	4.8093871012877105E-2	-1.1117603809641213E2	1.7324479631699026E0	1.8513027687633201E0	1.7324479631699026E0	1.8513027687633201E0	142	1.0686051229936777E0	42	-8.202525409422861E2	-1.4498484415434396E2
17	-6.76476418537304E2	15	156	2.9682556985902293E0	2.06435328092055E-2	15	156	-6.76476418537304E2	-1.1318941464257276E2	142	42	1.484028851478698E0	2.8993712685818935E0	1.811731728655365E-1	3.194344596801483E-1	3.09517637816745E-1	1.898747296375701E-1	6.97225318777339E-3	-1.1318941464257276E2	4.105860414434022E0	1.7965369911466469E0	4.105860414434022E0	1.7965369911466469E0	142	4.3755432718340304E-1	42	-8.24423348495548E2	-1.4794692995824406E2
18	-6.823967466805832E2	13	154	3.927068007441892E0	2.6628214113614983E-2	13	154	-6.823967466805832E2	-9.91649839097803E1	142	41	1.2790037996822814E0	2.4644266645090043E0	1.941761348197945E-1	3.423605588393359E-1	2.599610961745749E-1	2.0350221016629466E-1	3.958735517798076E-3	-9.91649839097803E1	1.480221612945255E0	2.2721229459472134E0	1.480221612945255E0	2.2721229459472134E0	142	1.5349883599025969E0	41	-8.256910130724257E2	-1.4329426639184246E2
19	-6.843991621888678E2	11	160	4.421806815830246E0	1.8985140207023583E-2	11	160	-6.843991621888678E2	-8.733662300889617E1	137	33	1.3900869893964314E0	2.469601233488689E0	1.9642661731386588E-1	3.4632848437788605E-1	2.6297401996473807E-1	1.9427087834351003E-1	4.9138726727017724E-2	-8.733662300889617E1	3.248795252136968E0	2.0586971870195874E0	3.248795252136968E0	2.0586971870195874E0	137	6.336801882683845E-1	33	-8.008007683730364E2	-1.1640160618416864E2
20	-6.820738833691735E2	12	152	2.7411274073135123E0	1.638304731125414E-2	12	152	-6.820738833691735E2	-9.408341236294795E1	137	33	1.4222305543394287E0	2.984261491403535E0	1.9642661731386588E-1	3.4632848437788605E-1	2.6297401996473807E-1	1.9427087834351003E-1	4.555789823165856E-2	-9.408341236294795E1	2.4322757413172744E0	1.7523594457280458E0	2.4322757413172744E0	1.7523594457280458E0	137	7.204608490561194E-1	33	-8.073532818993295E2	-1.2527939853015612E2
21	-6.827519902962595E2	13	150	3.0603863192792646E0	3.657278932715988E-2	13	150	-6.827519902962595E2	-9.686471866339573E1	138	38	1.6830661071087645E0	2.3126192062534434E0	1.6840475124275495E-1	3.0813781597673523E-1	3.3554364279498E-1	1.8791378998552985E-1	6.260341907530685E-2	-9.686471866339573E1	4.100483500544837E0	2.1789725472036605E0	4.100483500544837E0	2.1789725472036605E0	138	5.313940531437664E-1	38	-8.133505885515294E2	-1.305985982552699E2
