iter	likelihood	#indels	#substs	rs07:mean_length	rs07:rate	P1/#indels	P1/#substs	P1/likelihood	P1/prior_A	P1/|A|	P1/|indels|	tn93:kappaPur	tn93:kappaPyr	tn93:pi[A]	tn93:pi[C]	tn93:pi[G]	tn93:pi[T]	sigma	prior_A	scale	scale*|T|	scale1	scale1*|T|	|A|	|T|	|indels|	posterior	prior
2017	-6.860794676402677E2	23	154	1.0832528085174689E0	3.375551717065462E-2	23	154	-6.860794676402677E2	-1.2566425119029128E2	134	28	1.3130432921980046E0	3.031919916700219E0	1.9469466155450862E-1	3.0461386523012063E-1	2.966122889068307E-1	2.0407918430853994E-1	1.388752316847928E-1	-1.2566425119029128E2	1.7145805777841514E0	2.005707231174272E0	1.7145805777841514E0	2.005707231174272E0	134	1.1697946758304936E0	28	-8.313428749841288E2	-1.4526340734386113E2
2018	-6.888746916590949E2	19	166	1.1347489337633454E0	3.005239512173612E-2	19	166	-6.888746916590949E2	-1.0704284871077482E2	132	23	1.586600313602623E0	2.9956886001141587E0	2.0418098423158096E-1	2.891947186823019E-1	3.0012692528895707E-1	2.0649737179716002E-1	9.185641193019178E-2	-1.0704284871077482E2	1.4545368130544911E0	2.1123397891811493E0	1.4545368130544911E0	2.1123397891811493E0	132	1.452242232869506E0	23	-8.169105491731862E2	-1.2803585751409133E2
2019	-6.900353203272141E2	19	162	1.5532352289728295E0	2.908998196300567E-2	19	162	-6.900353203272141E2	-1.107700177922148E2	134	25	1.252708753785448E0	2.6686726765246123E0	1.9601326094517532E-1	3.098251894420421E-1	2.8577708376858746E-1	2.0838446584419504E-1	4.174974247756184E-1	-1.107700177922148E2	4.928905648286761E0	2.091029853630857E0	4.928905648286761E0	2.091029853630857E0	134	4.2423815809046345E-1	25	-8.192124787900141E2	-1.2917715846279998E2
2020	-6.876242280154656E2	17	164	1.998520171552785E0	2.92259567587229E-2	17	164	-6.876242280154656E2	-1.0953373035728796E2	134	27	1.4075479875164072E0	2.931163135856936E0	1.967162312209864E-1	3.1093632803452853E-1	2.832156372726068E-1	2.0913180347187835E-1	3.723700366653903E-1	-1.0953373035728796E2	3.617510953277715E0	2.044417267254089E0	3.617510953277715E0	2.044417267254089E0	134	5.651447345036247E-1	27	-8.129327722154301E2	-1.2530854419996447E2
2021	-7.036554683017127E2	20	158	1.8263636198701567E0	4.263717911198903E-2	20	158	-7.036554683017127E2	-1.2003993599758917E2	138	33	1.535702131337177E0	2.9676608041553187E0	1.9861633285196537E-1	3.1393969293411994E-1	2.85951245264689E-1	2.0149272894922565E-1	4.144374395863425E-2	-1.2003993599758917E2	3.544667948966395E0	2.16846637267779E0	3.544667948966395E0	2.16846637267779E0	138	6.117544446751642E-1	33	-8.380468664263658E2	-1.34391398124653E2
2022	-6.898096082498242E2	24	159	1.6629124244362714E0	6.1028316175307074E-2	24	159	-6.898096082498242E2	-1.4378157445512014E2	138	33	2.2508229545138807E0	3.876423522631703E0	2.128656596234308E-1	3.0362047194802594E-1	3.0646623854835287E-1	1.770476298801903E-1	3.632542614723406E-2	-1.4378157445512014E2	1.658150741383456E0	1.9668710529349176E0	1.658150741383456E0	1.9668710529349176E0	138	1.1861835018050801E0	33	-8.569310434305004E2	-1.6712143518067617E2
2023	-6.850167038740972E2	16	162	1.8002153015786435E0	1.9576308872149593E-2	16	162	-6.850167038740972E2	-1.0591528908434606E2	134	25	1.3369380369543562E0	2.8385479001414686E0	2.0951665522540916E-1	2.9884362678811544E-1	2.97385549431727E-1	1.942541685547483E-1	4.2878052665350934E-2	-1.0591528908434606E2	1.6767592388597736E0	1.8437456619003376E0	1.6767592388597736E0	1.8437456619003376E0	134	1.0995887895951704E0	25	-8.083053789205452E2	-1.2328867504644799E2
2024	-6.965457839104782E2	13	157	2.237867455518543E0	2.2672190283013968E-2	13	157	-6.965457839104782E2	-1.0000088674797651E2	139	37	1.2624081276518337E0	2.6069920118859273E0	1.3241927198406733E-1	3.224587850153096E-1	3.3551746239132024E-1	2.096044806093029E-1	1.423159297273717E-1	-1.0000088674797651E2	2.545805526039348E0	2.0462080808230114E0	2.545805526039348E0	2.0462080808230114E0	139	8.037566341551672E-1	37	-8.177220793316852E2	-1.2117629542120702E2
2025	-6.858585140888273E2	17	148	3.8021850367800094E0	2.3770742427629755E-2	17	148	-6.858585140888273E2	-1.2234613818306937E2	143	45	9.694513986346939E-1	2.4036387079402854E0	1.4469928761945178E-1	3.523622791398772E-1	3.666319642487663E-1	1.3630646899190463E-1	3.926021936501625E-2	-1.2234613818306937E2	2.0155505385523016E0	1.749451882285844E0	2.0155505385523016E0	1.749451882285844E0	143	8.679771848055039E-1	45	-8.283079558286726E2	-1.4244944173984524E2
2026	-6.769125730050476E2	15	147	2.419324012467487E0	3.1898537843469715E-2	15	147	-6.769125730050476E2	-1.166786955525233E2	142	45	1.906667280083218E0	2.9667482880243177E0	2.275909997404947E-1	3.169456983319889E-1	2.732708981904492E-1	1.821924037370671E-1	6.749146119713328E-2	-1.166786955525233E2	1.161532817067528E0	1.4265100963904034E0	1.161532817067528E0	1.4265100963904034E0	142	1.2281272430957673E0	45	-8.11059550692595E2	-1.3414697768754743E2
2027	-6.748233453545672E2	18	146	2.9367859728898678E0	3.647235948215474E-2	18	146	-6.748233453545672E2	-1.2372941221056891E2	140	43	1.4191627206787267E0	2.053317525450184E0	1.8205654648355743E-1	3.168961706646215E-1	3.0062057786291485E-1	2.0042670498890625E-1	3.1929829050634084E-1	-1.2372941221056891E2	2.5001423426276133E0	1.7004673963218666E0	2.5001423426276133E0	1.7004673963218666E0	140	6.80148232894092E-1	43	-8.173410900969754E2	-1.425177447424083E2
2028	-6.676026925089403E2	20	141	1.890421423567504E0	3.618039877133896E-2	20	141	-6.676026925089403E2	-1.3211756432987116E2	139	40	2.034351747244978E0	2.2038982118584687E0	1.517402370250184E-1	2.8960427141913125E-1	3.327716131087882E-1	2.2588387844706215E-1	1.820253108666774E-2	-1.3211756432987116E2	3.799882511923632E0	1.8528001185430396E0	3.799882511923632E0	1.8528001185430396E0	139	4.875940539553914E-1	40	-8.136422101315097E2	-1.4603951762256938E2
2029	-6.808862817068429E2	16	153	1.6886199122452914E0	4.299093513660727E-2	16	153	-6.808862817068429E2	-9.943444499126453E1	131	22	1.3560072768910918E0	2.531853733998577E0	1.608671603530606E-1	3.0878546525734063E-1	3.548118847650564E-1	1.7553548962454246E-1	2.0639351706867165E-1	-9.943444499126453E1	5.988201916670959E0	1.594968148097289E0	5.988201916670959E0	1.594968148097289E0	131	2.6635176473541244E-1	22	-7.924447127639185E2	-1.1155843105707561E2
2030	-6.933975677430963E2	15	158	1.5447515633658297E0	2.1777051824628003E-2	15	158	-6.933975677430963E2	-9.824780776337009E1	132	24	1.3583992705626513E0	2.344433381177017E0	1.6375551485079787E-1	2.8134032924271535E-1	3.3875252931613736E-1	2.1615162659034945E-1	4.234398961129741E-2	-9.824780776337009E1	2.5835367481989415E0	2.4440520535194157E0	2.5835367481989415E0	2.4440520535194157E0	132	9.460101758657914E-1	24	-8.049545132395402E2	-1.1155694549644393E2
2031	-6.881099461585447E2	19	156	1.8379902422204248E0	3.303603612598684E-2	19	156	-6.881099461585447E2	-1.1667667619414111E2	135	30	1.1663032436652625E0	2.8458144763349584E0	1.5218906356431497E-1	3.321010140413163E-1	3.148256122161061E-1	2.008843101782626E-1	7.262265219356275E-2	-1.1667667619414111E2	3.776395391468836E0	2.32413091015011E0	3.776395391468836E0	2.32413091015011E0	135	6.154363272978509E-1	30	-8.17361034812664E2	-1.292510886541193E2
2032	-6.905120723517937E2	15	164	1.6747782557257143E0	2.71163497680501E-2	15	164	-6.905120723517937E2	-9.440190447720755E1	131	22	8.089109473207214E-1	2.854906470015391E0	1.6401257295306024E-1	3.344120703868692E-1	3.061968790514448E-1	1.9537847760862578E-1	4.866929825573767E-2	-9.440190447720755E1	1.9025205178838807E0	1.967715700606953E0	1.9025205178838807E0	1.967715700606953E0	131	1.034267794807063E0	22	-8.078646744113094E2	-1.1735260205951563E2
2033	-6.979849052954409E2	13	170	1.4361459540732808E0	2.69912107228915E-2	13	170	-6.979849052954409E2	-7.973882044382339E1	128	16	1.3356149408336966E0	2.5109999750938683E0	1.831701250715762E-1	3.2822762458386073E-1	3.0053423056703665E-1	1.8806801977752644E-1	1.6566706169184656E-2	-7.973882044382339E1	4.250083223183275E0	2.016004154889259E0	4.250083223183275E0	2.016004154889259E0	128	4.743446302162737E-1	16	-7.93479523304414E2	-9.549461800897319E1
2034	-6.871548784036039E2	14	166	1.4351560303694724E0	1.2110090399931092E-2	14	166	-6.871548784036039E2	-9.386051242496308E1	131	22	1.1040023876691853E0	2.893770012672118E0	1.8370033080420972E-1	3.2628310680656875E-1	3.014041593932411E-1	1.8861240299598037E-1	5.060868075500701E-2	-9.386051242496308E1	1.601074164949561E0	2.2166485742970767E0	1.601074164949561E0	2.2166485742970767E0	131	1.3844758867662499E0	22	-8.021925782150759E2	-1.15037699811472E2
2035	-6.848915799621041E2	19	149	1.5038182238574769E0	4.430095421820379E-2	19	149	-6.848915799621041E2	-1.1028469978831507E2	133	26	1.421892465365832E0	2.376716123124333E0	1.957394578471654E-1	2.821298751132308E-1	3.211572156361172E-1	2.009734514034867E-1	8.20144443799559E-3	-1.1028469978831507E2	2.6723026999484607E0	2.196634771245928E0	2.6723026999484607E0	2.196634771245928E0	133	8.2200073041437E-1	26	-8.113164283722263E2	-1.2642484841012215E2
2036	-6.861034802504596E2	19	161	1.2015059355868172E0	3.214282513783606E-2	19	161	-6.861034802504596E2	-1.1504861346020975E2	132	26	1.2800425780664566E0	2.3217732533199573E0	2.285181123808442E-1	2.7063131559766374E-1	3.0806804754867667E-1	1.9278252447281535E-1	8.054584752137824E-3	-1.1504861346020975E2	1.494362498961075E0	2.1915839297564603E0	1.494362498961075E0	2.1915839297564603E0	132	1.4665678048533164E0	26	-8.222613080082413E2	-1.3615782775778172E2
2037	-6.819112452018167E2	14	163	1.9944272204661826E0	2.5834476265005443E-2	14	163	-6.819112452018167E2	-9.109967810914053E1	129	21	1.213731073705872E0	3.7262620914761224E0	2.1863083403147784E-1	2.589219280156857E-1	3.5521260602809135E-1	1.6723463192474508E-1	1.3709223324703427E-2	-9.109967810914053E1	1.689233219307578E0	1.9582719761657943E0	1.689233219307578E0	1.9582719761657943E0	129	1.1592667926389086E0	21	-7.923202937907267E2	-1.1040904858891003E2
2038	-6.797069783175647E2	13	153	2.061994809493017E0	3.225430581960355E-2	13	153	-6.797069783175647E2	-9.917678213736902E1	137	37	1.2826227293621293E0	3.302338271855264E0	2.067988449489442E-1	2.781001288685205E-1	3.3598900614054034E-1	1.7911202004199497E-1	2.081565781583093E-1	-9.917678213736902E1	3.291058749479215E0	2.0769854403403887E0	3.291058749479215E0	2.0769854403403887E0	137	6.310994723716359E-1	37	-7.96253184893313E2	-1.1654620657574833E2
2039	-6.857605447242972E2	15	154	2.8450731632813966E0	2.340495241180671E-2	15	154	-6.857605447242972E2	-1.0882816330932437E2	137	37	1.4541861821127504E0	2.0835333655926127E0	1.5097908588955097E-1	2.9472851542456385E-1	3.124837192185625E-1	2.418086794673227E-1	8.330922911138816E-3	-1.0882816330932437E2	2.864626670595388E0	1.698465297643932E0	2.864626670595388E0	1.698465297643932E0	137	5.929098248920934E-1	37	-8.08249341716219E2	-1.2248879699192172E2
2040	-6.728480067302123E2	14	151	2.9474860253622097E0	2.6569092008904335E-2	14	151	-6.728480067302123E2	-1.0724742390708873E2	143	49	1.2719588198725227E0	3.122017851322003E0	1.8284962855123787E-1	2.8941846750697675E-1	2.902798293079323E-1	2.3745207463385318E-1	1.1709580430229256E-2	-1.0724742390708873E2	1.239394390743972E0	1.8009947014824432E0	1.239394390743972E0	1.8009947014824432E0	143	1.4531247800801803E0	49	-8.027217655396446E2	-1.2987375880943225E2
2041	-6.47589162685688E2	20	131	3.5334440020610005E0	3.817744351975568E-2	20	131	-6.47589162685688E2	-1.439739723289548E2	151	65	1.0578883746429149E0	2.4696808004485225E0	1.5090953431066198E-1	3.222784069038996E-1	2.897738669187348E-1	2.3703819186670372E-1	2.6276360728458858E-2	-1.439739723289548E2	3.5432606354062406E0	1.7148581374194063E0	3.5432606354062406E0	1.7148581374194063E0	151	4.839774190708934E-1	65	-8.091052075239928E2	-1.6151604483830474E2
2042	-6.658167151511074E2	15	148	3.111598559766481E0	3.5586206454741746E-2	15	148	-6.658167151511074E2	-1.0881169905037805E2	139	41	1.4441441999415352E0	2.8778490483415995E0	1.808030366990127E-1	3.4237985656099285E-1	2.997711497394422E-1	1.7704595700055223E-1	1.4478449211292538E-1	-1.0881169905037805E2	5.386948592995186E0	1.9329500692732573E0	5.386948592995186E0	1.9329500692732573E0	139	3.5882096068017644E-1	41	-7.901077481136372E2	-1.242910329625298E2
2043	-6.636583818114527E2	18	144	2.76753823208021E0	4.42267529331339E-2	18	144	-6.636583818114527E2	-1.3113295214851053E2	146	55	1.4083733759589694E0	3.3622265459154956E0	1.7890183988956296E-1	3.1512440065078573E-1	3.307894924767052E-1	1.7518426698294606E-1	1.1843078117242573E-1	-1.3113295214851053E2	1.3307031145723665E0	1.6881465190555958E0	1.3307031145723665E0	1.6881465190555958E0	146	1.2686124354628094E0	55	-8.194675957742475E2	-1.5580921396279467E2
2044	-6.66014585729423E2	20	145	3.572009641639846E0	4.674422795276918E-2	20	145	-6.66014585729423E2	-1.448896676025468E2	151	62	1.4655951169315211E0	2.6775693113770522E0	1.7556952995006958E-1	3.06110150361595E-1	3.46399117380803E-1	1.7192120230753247E-1	5.523077941980736E-2	-1.448896676025468E2	4.948575480253382E0	2.0556080038571327E0	4.948575480253382E0	2.0556080038571327E0	151	4.1539388700036145E-1	62	-8.226049364302716E2	-1.5659035070084863E2
2045	-6.651108065220782E2	16	142	4.150992026849531E0	6.675000992978114E-2	16	142	-6.651108065220782E2	-1.2282357622124329E2	151	58	1.0667652161957992E0	3.9404530616526987E0	1.7556952995006958E-1	3.06110150361595E-1	3.46399117380803E-1	1.7192120230753247E-1	5.920651375741833E-2	-1.2282357622124329E2	2.0770665564643522E0	1.646211635802104E0	2.0770665564643522E0	1.646211635802104E0	151	7.925656646286467E-1	58	-8.079067082826743E2	-1.427959017605962E2
2046	-6.729124553201633E2	14	147	2.951392351154359E0	3.507367885588305E-2	14	147	-6.729124553201633E2	-1.0283395002696236E2	137	37	1.636814323024452E0	2.4158030781014785E0	1.8216302809083873E-1	2.800511785411969E-1	3.5940810554101477E-1	1.783776878269497E-1	3.454656315462822E-2	-1.0283395002696236E2	1.903584160573318E0	1.4503859931392746E0	1.903584160573318E0	1.4503859931392746E0	137	7.619237558177885E-1	37	-7.883527018391999E2	-1.1544024651903663E2
2047	-6.673232901948086E2	19	134	3.5494980187032525E0	4.585384246091139E-2	19	134	-6.673232901948086E2	-1.4230921008195705E2	156	72	1.4484596192388346E0	2.710538990322313E0	1.954855585194733E-1	2.75489156431851E-1	3.535533623747937E-1	1.7547192267388204E-1	1.0095440841236787E-1	-1.4230921008195705E2	1.192227215247444E0	1.5935410106760648E0	1.192227215247444E0	1.5935410106760648E0	156	1.336608483933433E0	72	-8.279111898862334E2	-1.605878996914248E2
2048	-6.653997138146841E2	21	136	3.585852072379364E0	4.237866347816499E-2	21	136	-6.653997138146841E2	-1.4756150157473203E2	157	77	1.496735051800356E0	2.8095229802677153E0	1.757578197213485E-1	3.436391608183989E-1	3.2283912741089504E-1	1.577638920493576E-1	9.156537678568306E-2	-1.4756150157473203E2	1.4211926347861583E0	1.663997551044477E0	1.4211926347861583E0	1.663997551044477E0	157	1.1708458869791798E0	77	-8.282784704610333E2	-1.6287875664634925E2
2049	-6.567122169846065E2	22	137	2.545014823965701E0	1.0280324482751053E-1	22	137	-6.567122169846065E2	-1.529400615073017E2	152	65	1.1829728846861072E0	3.6032540119343457E0	1.8447542828185248E-1	3.4761138027866206E-1	3.083256632229551E-1	1.5958752821653033E-1	6.0585442324976375E-2	-1.529400615073017E2	3.3290593630732346E0	1.522056162918656E0	3.3290593630732346E0	1.522056162918656E0	152	4.5720307057353393E-1	65	-8.234003672945919E2	-1.6668815030998536E2
2050	-6.646212414104767E2	23	144	2.7445612283031284E0	6.863007131050756E-2	23	144	-6.646212414104767E2	-1.5978149884045243E2	154	67	1.3734085557550302E0	3.2119513920198757E0	1.8447542828185248E-1	3.4761138027866206E-1	3.083256632229551E-1	1.5958752821653033E-1	1.0280329329119134E-1	-1.5978149884045243E2	4.594967480567556E0	1.762914373365062E0	4.594967480567556E0	1.762914373365062E0	154	3.836619912590355E-1	67	-8.390369425410918E2	-1.744157011306151E2
2051	-6.666980936673916E2	20	145	2.582017444773105E0	6.72962788707845E-2	20	145	-6.666980936673916E2	-1.3805569630207702E2	148	56	1.5692059805100549E0	2.794719154575868E0	1.8447542828185248E-1	3.4761138027866206E-1	3.083256632229551E-1	1.5958752821653033E-1	3.1034899342489288E-2	-1.3805569630207702E2	2.7814818906009977E0	1.34909011715674E0	2.7814818906009977E0	1.34909011715674E0	148	4.850256698472485E-1	56	-8.128790818204434E2	-1.4618098815305171E2
2052	-6.672268193234645E2	28	143	2.3597726963785304E0	1.0309225143322169E-1	28	143	-6.672268193234645E2	-1.7657770714541505E2	151	62	1.2426915998900956E0	3.5119548637087292E0	2.0374445112652242E-1	2.6179091457825776E-1	3.5820770053471407E-1	1.7625693376050564E-1	2.213843501752403E-2	-1.7657770714541505E2	1.1426509293979017E0	1.6325609984423024E0	1.1426509293979017E0	1.6325609984423024E0	151	1.4287486724423788E0	62	-8.590871711742541E2	-1.9186035185078956E2
2053	-6.699671469332266E2	27	139	2.591313701644168E0	8.463229520697409E-2	27	139	-6.699671469332266E2	-1.7498395609373256E2	156	72	1.786284422046836E0	2.7561578048857336E0	1.832070419856094E-1	3.123175210439818E-1	3.320015074476651E-1	1.7247392952274374E-1	1.0887109150257533E-1	-1.7498395609373256E2	2.2155650029688885E0	1.7951610506841171E0	2.2155650029688885E0	1.7951610506841171E0	156	8.102497774962937E-1	72	-8.499849446556098E2	-1.8001779772238322E2
2054	-6.730536041267187E2	27	148	2.5020208148936747E0	8.948687917921007E-2	27	148	-6.730536041267187E2	-1.7258119038170005E2	152	64	1.0935692043754932E0	2.8686557694116472E0	2.118915804956104E-1	3.0918898715722115E-1	3.081732013899454E-1	1.7074623095722302E-1	2.5969723829869583E-2	-1.7258119038170005E2	2.883332546739097E0	1.9746093173640284E0	2.883332546739097E0	1.9746093173640284E0	152	6.848357882260968E-1	64	-8.537309179615822E2	-1.8067731383486353E2
2055	-6.714392083488475E2	19	152	2.2665924826447004E0	3.900821559887933E-2	19	152	-6.714392083488475E2	-1.2643800355658232E2	136	33	8.221708639745863E-1	3.407005633435402E0	2.3132988030936447E-1	2.4581605109778557E-1	3.3644408912022156E-1	1.8640997947262833E-1	1.176965817115676E-2	-1.2643800355658232E2	1.0425228057229123E0	1.8008063332811597E0	1.0425228057229123E0	1.8008063332811597E0	136	1.7273543786242969E0	33	-8.267511614355733E2	-1.553119530867258E2
2056	-6.810366033083403E2	18	152	2.288897097466606E0	4.8718593029372766E-2	18	152	-6.810366033083403E2	-1.167211893328283E2	138	35	1.521116258528282E0	2.7823039548239437E0	1.8969454792520526E-1	3.509965723273426E-1	2.921238849207184E-1	1.6718499482673382E-1	1.7993190876436727E-1	-1.167211893328283E2	2.086466564590256E0	1.7497207919994047E0	2.086466564590256E0	1.7497207919994047E0	138	8.386047596899872E-1	35	-8.127656618515227E2	-1.317290585431824E2
2057	-6.918644802313488E2	17	157	2.989935587131579E0	1.8552448199122364E-2	17	157	-6.918644802313488E2	-1.1888750163498848E2	142	44	1.3377173679674927E0	2.697636278214787E0	1.8969454792520526E-1	3.509965723273426E-1	2.921238849207184E-1	1.6718499482673382E-1	1.4898791067874242E-2	-1.1888750163498848E2	3.1987735662270556E0	2.5462984883216104E0	3.1987735662270556E0	2.5462984883216104E0	142	7.96023361955239E-1	44	-8.242306310493393E2	-1.3236615081799047E2
2058	-6.861978928239832E2	15	158	2.7223128466984456E0	3.0478203800469006E-2	15	158	-6.861978928239832E2	-1.0773022152938896E2	139	39	1.2927009820084048E0	2.7256485662781342E0	1.7542897008479003E-1	3.567782965400808E-1	2.969358399987016E-1	1.708568933764276E-1	3.871480518566496E-1	-1.0773022152938896E2	2.2402322225120375E0	2.0187958715534027E0	2.2402322225120375E0	2.0187958715534027E0	139	9.011547335435022E-1	39	-8.08005191267632E2	-1.2180729844364868E2
2059	-6.854941507253633E2	19	155	2.4979479188079594E0	3.334226266383376E-2	19	155	-6.854941507253633E2	-1.2547999063786455E2	139	38	9.913661618530945E-1	2.543376237911927E0	1.7217423473063348E-1	3.014592252029154E-1	2.942736770668894E-1	2.3209286299956167E-1	7.454254556431102E-4	-1.2547999063786455E2	2.0552674485078297E0	2.444230054507988E0	2.0552674485078297E0	2.444230054507988E0	139	1.1892515771037748E0	38	-8.361979491093847E2	-1.507037983840214E2
2060	-6.683391404608269E2	23	144	2.6588107241642827E0	5.752672291254217E-2	23	144	-6.683391404608269E2	-1.5525314731893855E2	151	61	1.329938122019887E0	3.0246882425329615E0	1.660445683903666E-1	2.928629894428803E-1	3.156178041268781E-1	2.2547463803987494E-1	1.3072194810010205E-2	-1.5525314731893855E2	2.683257472140579E0	1.9346762725541429E0	2.683257472140579E0	1.9346762725541429E0	151	7.210177527282715E-1	61	-8.400557935495364E2	-1.7171665308870948E2
2061	-6.723500925991615E2	17	144	2.482509230925583E0	3.59000516447843E-2	17	144	-6.723500925991615E2	-1.3369872301917175E2	149	52	1.2405588465537207E0	2.577835264652808E0	1.7546218073652575E-1	3.018810112381603E-1	2.844330089682064E-1	2.3822379905710767E-1	1.1482974044568789E-1	-1.3369872301917175E2	2.277558960392706E0	2.1533333156547685E0	2.277558960392706E0	2.1533333156547685E0	149	9.454566722977316E-1	52	-8.221083716204733E2	-1.497582790213119E2
2062	-6.686093034543173E2	14	140	2.826986971461468E0	3.566150097041905E-2	14	140	-6.686093034543173E2	-1.0567883564926447E2	142	41	1.9114080825699777E0	2.7152992770945135E0	1.9306437043345576E-1	2.451701864956931E-1	3.682939391726931E-1	1.9347150389815798E-1	4.631752719526447E-3	-1.0567883564926447E2	2.2243007166170723E0	1.2430924215822614E0	2.2243007166170723E0	1.2430924215822614E0	142	5.588688670985434E-1	41	-7.88516278201953E2	-1.1990697474763566E2
2063	-6.628863480950303E2	15	141	3.470879594127005E0	3.202325015474479E-2	15	141	-6.628863480950303E2	-1.1502836941681751E2	146	49	8.007023925339657E-1	2.4791732440756036E0	1.9306437043345576E-1	2.451701864956931E-1	3.682939391726931E-1	1.9347150389815798E-1	5.5660123804814304E-2	-1.1502836941681751E2	4.195803148552223E0	1.5780129864075458E0	4.195803148552223E0	1.5780129864075458E0	146	3.760931889647981E-1	49	-7.96720786435086E2	-1.3383443834005573E2
2064	-6.694215898669169E2	15	140	3.191106649617721E0	3.28090875480178E-2	15	140	-6.694215898669169E2	-1.1511573625685091E2	144	46	1.0321470982814167E0	3.074942746689397E0	2.141008238888355E-1	2.1247081038974638E-1	3.519009065400472E-1	2.2152745918137098E-1	1.9152844783968972E-2	-1.1511573625685091E2	1.8947151464102139E0	1.334473923051193E0	1.8947151464102139E0	1.334473923051193E0	144	7.043137463589336E-1	46	-8.014712395607272E2	-1.3204964969381032E2
2065	-6.686436006209951E2	15	135	2.632820105320989E0	2.547657351226342E-2	15	135	-6.686436006209951E2	-1.1991764926486985E2	148	51	1.1175209762382285E0	2.604199466609449E0	2.141008238888355E-1	2.1247081038974638E-1	3.519009065400472E-1	2.2152745918137098E-1	9.932971830463143E-2	-1.1991764926486985E2	1.7613177694052697E0	1.420717028052499E0	1.7613177694052697E0	1.420717028052499E0	148	8.066216401894483E-1	51	-8.059786003393759E2	-1.3733499971838083E2
2066	-6.562044928700743E2	22	128	3.8953971438418984E0	4.766139589353479E-2	22	128	-6.562044928700743E2	-1.5622600793262305E2	159	76	1.6036348388969284E0	2.9201567340327523E0	1.893788552982672E-1	3.0340587330108354E-1	3.1126732559225706E-1	1.9594794580839214E-1	4.794318604867323E-2	-1.5622600793262305E2	2.047166473569466E0	1.4970658876277851E0	2.047166473569466E0	1.4970658876277851E0	159	7.312868332673901E-1	76	-8.277823151031464E2	-1.7157782223307203E2
2067	-6.605494711570834E2	19	136	3.8542489317499378E0	4.2447957744854645E-2	19	136	-6.605494711570834E2	-1.3804759100188468E2	147	53	1.4807457821333865E0	2.2379454276583344E0	1.9257691852642705E-1	3.0852952432898584E-1	3.165237338989629E-1	1.8236982324562426E-1	2.0112535698699748E-2	-1.3804759100188468E2	1.2177190314767998E0	1.8461997536895682E0	1.2177190314767998E0	1.8461997536895682E0	147	1.5161130818909618E0	53	-8.20750310249224E2	-1.6020083909214054E2
2068	-6.502542262638502E2	16	135	4.511821702073487E0	5.624284331414022E-2	16	135	-6.502542262638502E2	-1.2321844617082158E2	146	52	1.3960500346316638E0	2.4354341046524874E0	1.7550512492216092E-1	3.011750958034599E-1	3.320209856129725E-1	1.9129879366140684E-1	2.2190267082051462E-2	-1.2321844617082158E2	1.848350452599148E0	1.4390764052786058E0	1.848350452599148E0	1.4390764052786058E0	146	7.785733507706715E-1	52	-7.937962694479547E2	-1.4354204318410447E2
2069	-6.621916825593244E2	19	144	3.4176646961730475E0	3.391759391093982E-2	19	144	-6.621916825593244E2	-1.358098752359333E2	153	66	1.3019472758662844E0	2.8038633638085853E0	1.7380821293393678E-1	3.07931846400496E-1	3.2881076374008683E-1	1.8944917692548058E-1	1.601953873359704E-2	-1.358098752359333E2	1.4232353765825885E0	1.58883506522844E0	1.4232353765825885E0	1.58883506522844E0	153	1.1163543932160276E0	66	-8.178029663209077E2	-1.5561128376158337E2
2070	-6.631341333749127E2	17	138	5.018676812755275E0	3.8475199047320725E-2	17	138	-6.631341333749127E2	-1.2959666155507455E2	147	51	1.5633096022936852E0	2.9811214432471633E0	1.7492675421424597E-1	3.099135391865077E-1	3.2449133110233647E-1	1.9066837549690996E-1	7.641074191291068E-2	-1.2959666155507455E2	1.567227098059743E0	1.7451556258470633E0	1.567227098059743E0	1.7451556258470633E0	147	1.113530788235859E0	51	-8.132384521954441E2	-1.501043188205314E2
2071	-6.660371007726038E2	15	131	5.4484292526535985E0	3.1304960374566995E-2	15	131	-6.660371007726038E2	-1.2014234576312094E2	159	66	1.4882772448676074E0	1.435641779776933E0	1.8512422776881135E-1	2.571922262210924E-1	3.5590002848956925E-1	2.0178351752052692E-1	6.228582192038245E-2	-1.2014234576312094E2	1.6267792782339487E0	1.4592973939454672E0	1.6267792782339487E0	1.4592973939454672E0	159	8.970469525095611E-1	66	-8.05805302783878E2	-1.3976820201127413E2
2072	-6.753583421310781E2	14	137	2.832505949696291E0	2.5720973932102577E-2	14	137	-6.753583421310781E2	-1.1775512086764633E2	158	63	1.2366004588123602E0	2.415183854299873E0	1.987758345857037E-1	2.761583399008012E-1	3.084021959918536E-1	2.1666362952164142E-1	1.559654888097723E-1	-1.1775512086764633E2	3.3389619006133047E0	1.7927521773138528E0	3.3389619006133047E0	1.7927521773138528E0	158	5.369190277327087E-1	63	-8.093672945915132E2	-1.340089524604351E2
2073	-6.623281979580984E2	15	135	3.7137321182574694E0	1.9341598508396386E-2	15	135	-6.623281979580984E2	-1.1740544673095768E2	151	49	1.4992858078047657E0	2.4941591822930733E0	2.064578006519592E-1	2.8304291812754895E-1	2.9624996067575027E-1	2.1424932054474158E-1	1.560170553743003E-1	-1.1740544673095768E2	4.501333760124824E0	1.799242698469529E0	4.501333760124824E0	1.799242698469529E0	151	3.997132393087943E-1	49	-7.929366626023507E2	-1.3060846464425228E2
