,n_sequences,alignment_length,log_likelihood,aic_score,bic_score,freq_A,freq_R,freq_N,freq_D,freq_C,freq_Q,freq_E,freq_G,freq_H,freq_I,freq_L,freq_K,freq_M,freq_F,freq_P,freq_S,freq_T,freq_W,freq_Y,freq_V,gamma_shape,prop_invariant,insertion_rate,deletion_rate,insertion_events,deletion_events,mean_insertion_length,mean_deletion_length,total_gaps,indel_to_substitution_ratio,n_internal_nodes,max_depth,colless_index,normalized_colless_index
count,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0
mean,88.53623188405797,288.8623188405797,-23756.680574637678,47881.53323115942,48517.162091304344,0.0905927536231884,0.043836956521739134,0.03668333333333334,0.04140507246376812,0.010324637681159422,0.03139492753623188,0.04705434782608696,0.07931376811594203,0.0186,0.06991956521739129,0.11385724637681158,0.046201449275362315,0.024713043478260865,0.055749275362318836,0.0417927536231884,0.06219202898550724,0.054877536231884065,0.018098550724637685,0.0349659420289855,0.0785159420289855,2.463013043478261,0.020185507246376813,0.1495260097148173,0.18184131412115737,15.021739130434783,15.434782608695652,3.9790613679091362,4.950331985111276,12050.369565217392,0.0023003454035570386,86.54347826086956,12.36231884057971,718.7971014492754,0.3245011681462093
std,142.15475064247136,239.9100254711983,37119.792087577,74636.4027411822,75443.80338238024,0.018098242192666193,0.014951225207158646,0.011510417898349617,0.016821637623325416,0.005448776888054423,0.010700230725827905,0.023019024564636337,0.02573601297403799,0.009804244574613187,0.01826891523991397,0.02536622528211368,0.018458602273310663,0.006579949926450215,0.017178395217388325,0.011239669304959145,0.011085784028746024,0.007185336021339125,0.010176070294735273,0.009964099765789191,0.015236645445588445,7.830937888136888,0.0645999622050517,0.1862662026606904,0.20226981570078176,17.874855883775872,15.682505256504117,2.537603311877377,3.2004529151858256,33506.29282285699,0.006586249185303068,142.15100018982167,7.9615334591827365,1501.6625490057436,0.2832949866910221
min,3.0,11.0,-250492.559,306.4206,312.6532,0.0562,0.0088,0.0083,0.0103,0.0003,0.0078,0.0068,0.044,0.002,0.0307,0.0522,0.0094,0.0085,0.0299,0.0051,0.0374,0.0322,0.0038,0.0091,0.0479,0.2663,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.02199176611600396
25%,14.0,119.0,-31308.298825,7483.193875,7619.9556,0.0791,0.029975,0.02955,0.024399999999999998,0.006425,0.0214,0.025225,0.0573,0.0116,0.0622,0.0991,0.0292,0.023,0.0423,0.0387,0.060899999999999996,0.0533,0.0121,0.03255,0.0691,1.190475,0.0,0.04091863480074404,0.05422402433002789,3.0,4.0,1.7524626865671644,2.1905783582089553,191.75,5.986917749124482e-05,12.0,7.0,28.25,0.1158318882034773
50%,35.0,243.0,-8741.42975,17704.357949999998,18014.44555,0.0791,0.05015,0.042,0.0531,0.0129,0.0343,0.0432,0.06875,0.0218,0.0622,0.0991,0.0478,0.023,0.0479,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,1.62885,0.0,0.0860132460990759,0.11800077671397331,10.0,11.0,3.4817255034122505,4.352156879265313,1215.5,0.0002534764256771059,33.0,11.0,147.5,0.23263305322128852
75%,89.5,392.0,-3701.346975,62986.588575,63689.892224999996,0.10155,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.10177499999999999,0.0224,0.08045,0.133575,0.0646,0.027375,0.064725,0.044,0.066825,0.056475,0.022875,0.036275,0.08755,2.297,0.0219,0.18541612357004125,0.21707065988442506,21.0,23.75,5.356460369163952,6.69557546145494,10246.25,0.0010180270067553314,87.5,16.75,590.5,0.4277068283453732
max,835.0,1633.0,-146.2103,503103.118,507454.8112,0.1463,0.0755,0.0701,0.0763,0.0292,0.0563,0.0716,0.1465,0.0924,0.1214,0.1826,0.0694,0.0444,0.1181,0.0894,0.0968,0.0842,0.0577,0.0777,0.1434,93.2849,0.5451,1.0,1.0,111.0,94.0,14.12629207153922,17.657865089424025,250777.0,0.050397877984084884,833.0,35.0,9450.0,1.0
