sequence_name,n_sequences_tips,alignment_length,crown_age,gamma_shape,prop_invariant,insertion_rate,deletion_rate,mean_insertion_length,mean_deletion_length,normalized_colless_index,gamma,best_BD_speciation_rate,best_BD_extinction_rate,best_BD_speciation_alpha,best_BD_extinction_alpha,best_BLINDLIN,indel_rate,percent_unique_topologies,likelihood_ess,n_samples,shared_homologies,homologies_reference,homologies_estimated,correctly_aligned_columns,aligned_columns_ref,singleton_insertion_ref,aligned_columns_est,singleton_insertion_est,sp_score,modeler,spfn,spfp,compression_naive,compression,tc,rf_distance,max_rf_distance,n_common_leaves,rfl_distance,wall_clock_s,best_BCSTDLIN,best_BLINDEXP,best_BEXPDLIN,best_BEXPDCST
seq_1_SCOPt4e1,20,29,1.2943260085750978,1.5483518577932796,0.0258308619572078,0.129948703041073,0.3745969974029257,3.2202753917174136,1.8377956183074375,0.2824514904864558,16.44633182536838,69.55411902517797,36.30836236158358,50.85520711722472,39.237215330491104,1.0,0.5045457004439988,99.862001,23997.504736,100001,6722,6911,6922,23,29,"(2, 0)",29,"(2, 0)",0.9726522934452322,0.971106616584802,0.0273477065547678,0.0288933834151978,1.0,1.0,0.7931034482758621,24,46,25,170.3292961668515,60497.898310899734,,,,
seq_1_SCOPt3e1,34,231,3.305049123775226,2.0350740841911534,0.0273455102025591,0.2364028748615396,0.1868321406133841,4.972313091819535,6.323293803537244,0.3303607401417614,-30.15380975710682,4.729828063980047,26.52033407486576,0.0,51.075394886910715,,0.4232350154749238,0.027272,2939.335197,44001,7966,10175,9843,145,331,"(93, 0)",350,"(93, 0)",0.7828992628992629,0.8093061058620339,0.217100737100737,0.1906938941379661,1.0374707259953162,1.044811320754717,0.4380664652567976,4,18,11,17.51438123254654,57352.93539214134,1.0,0.0,,
seq_1_SCOPt2e1,31,645,2.319319395916427,1.5442508099876162,0.0212252618082061,0.2097440343287682,0.2589979725052173,5.114761413826496,6.615504666340339,0.1847994051464556,76.97125950635746,71.33316817693117,28.07591408406842,25.47698559240624,4.97459292656932,1.0,0.4687420068339856,0.018749,1421.023656,32001,16972,17261,17248,645,692,"(33, 0)",692,"(36, 0)",0.9832570534731476,0.9839981447124304,0.0167429465268524,0.0160018552875695,1.004137931034483,1.004137931034483,0.9320809248554912,4,12,8,19.46460015720083,86682.35744309425,0.0,,,
seq_1_SCOPt1e1,32,533,2.1216555273842492,1.8572344303576052,0.0027955525823731,0.1807644134358665,0.2512426098671751,3.9365237698557767,5.253345296047195,0.1144958428220981,33.199675617809056,14.240153904803757,35.48615871308156,5.737512355598345,36.54459077848064,1.0,0.4320070233030416,0.041666,2307.228013,48001,18972,24870,23345,311,743,"(160, 0)",829,"(181, 0)",0.7628468033775633,0.8126793745984151,0.2371531966224367,0.1873206254015849,1.082529474812433,1.1184939091915835,0.4185733512786003,4,20,12,27.85709814821253,219607.89817214012,0.0,0.0,0.0,0.0
