sequence_name,n_sequences_tips,alignment_length,crown_age,gamma_shape,prop_invariant,insertion_rate,deletion_rate,mean_insertion_length,mean_deletion_length,normalized_colless_index,gamma,best_BD_speciation_rate,best_BD_extinction_rate,best_BD_speciation_alpha,best_BD_extinction_alpha,best_BLINDLIN,indel_rate,percent_unique_topologies,likelihood_ess,n_samples,shared_homologies,homologies_reference,homologies_estimated,correctly_aligned_columns,aligned_columns_ref,singleton_insertion_ref,aligned_columns_est,singleton_insertion_est,sp_score,modeler,spfn,spfp,compression_naive,compression,tc,rf_distance,max_rf_distance,n_common_leaves,rfl_distance,wall_clock_s,best_BCSTDLIN,best_BLINDEXP,best_BEXPDLIN,best_BEXPDCST
seq_1_SCOPt4e1,20,29,1.2943260085750978,1.5483518577932796,0.0258308619572078,0.129948703041073,0.3745969974029257,3.2202753917174136,1.8377956183074375,0.2824514904864558,16.44633182536838,69.55411902517797,36.30836236158358,50.85520711722472,39.237215330491104,1.0,0.5045457004439988,1.057143,127.753444,98000,6455,6911,6586,19,29,"(2, 0)",33,"(10, 0)",0.9340182318043698,0.980109322805952,0.0659817681956301,0.019890677194048,1.3870967741935485,1.3870967741935485,0.6551724137931034,30,46,25,45.78312965991006,10332.667725801468,,,,
seq_1_SCOPt3e1,34,231,3.305049123775226,2.0350740841911534,0.0273455102025591,0.2364028748615396,0.1868321406133841,4.972313091819535,6.323293803537244,0.3303607401417614,-30.15380975710682,4.729828063980047,26.52033407486576,0.0,51.075394886910715,,0.4232350154749238,0.002381,122.747088,42000,7383,10175,9550,111,331,"(93, 0)",367,"(94, 0)",0.7256019656019655,0.7730890052356021,0.2743980343980344,0.2269109947643979,1.079625292740047,1.0872641509433962,0.3353474320241691,6,18,11,7.870446195259264,12083.7173037529,1.0,0.0,,
seq_1_SCOPt2e1,31,645,2.319319395916427,1.5442508099876162,0.0212252618082061,0.2097440343287682,0.2589979725052173,5.114761413826496,6.615504666340339,0.1847994051464556,76.97125950635746,71.33316817693117,28.07591408406842,25.47698559240624,4.97459292656932,1.0,0.4687420068339856,0.006667,67.807416,30000,17035,17261,17270,653,692,"(33, 0)",691,"(35, 0)",0.9869068999478592,0.9863925883034164,0.0130931000521407,0.0136074116965836,1.0013793103448276,1.0013793103448276,0.9436416184971098,4,12,8,12.612212056312638,13378.32970404625,0.0,,,
seq_1_SCOPt1e1,32,533,2.1216555273842492,1.8572344303576052,0.0027955525823731,0.1807644134358665,0.2512426098671751,3.9365237698557767,5.253345296047195,0.1144958428220981,33.199675617809056,14.240153904803757,35.48615871308156,5.737512355598345,36.54459077848064,1.0,0.4320070233030416,0.003702,62.166253,27011,18315,24870,23442,282,743,"(160, 0)",805,"(192, 0)",0.7364294330518697,0.7812899923214742,0.2635705669481303,0.2187100076785257,1.0685959271168275,1.1040974529346623,0.3795423956931359,6,20,12,6.907325995207008,14211.25588798523,0.0,0.0,0.0,0.0
