,n_sequences,alignment_length,log_likelihood,aic_score,bic_score,freq_A,freq_R,freq_N,freq_D,freq_C,freq_Q,freq_E,freq_G,freq_H,freq_I,freq_L,freq_K,freq_M,freq_F,freq_P,freq_S,freq_T,freq_W,freq_Y,freq_V,gamma_shape,prop_invariant,insertion_rate,deletion_rate,insertion_events,deletion_events,mean_insertion_length,mean_deletion_length,total_gaps,indel_to_substitution_ratio,n_internal_nodes,max_depth,colless_index,normalized_colless_index
count,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0
mean,27.58490566037736,170.95283018867926,-5396.450203773585,10903.71743207547,11068.521553773584,0.08324811320754716,0.056487735849056586,0.04179905660377358,0.052995283018867925,0.01250377358490566,0.045482075471698115,0.07596509433962263,0.05480566037735849,0.021541509433962262,0.059108490566037744,0.09903679245283019,0.06883301886792452,0.022102830188679243,0.03888301886792452,0.041,0.0642754716981132,0.05336886792452831,0.011037735849056604,0.03161981132075472,0.06606415094339621,4.527977358490565,0.022710377358490567,0.1428567210458519,0.2015274390860422,5.0,6.264150943396227,3.458705881101093,4.287533294772593,947.0566037735849,0.002653448694682446,25.58490566037736,8.528301886792454,132.06603773584905,0.4364652196036438
std,29.59757645307766,156.27182557359538,5930.769805426779,11937.209481004335,12076.406960588052,0.025252433097792588,0.012988762196461463,0.007804168547678544,0.0070891652013809646,0.007879327074582446,0.016387967695086603,0.02048400092268449,0.011098398255850378,0.0049928876638394015,0.010013468243887267,0.010345013295779144,0.016514050131691545,0.003811222964505646,0.008446046938945975,0.012369763442323689,0.02227233522651023,0.008444816535914033,0.0030254304008706144,0.006649502950437019,0.013505724984889752,15.078949275812626,0.03789077015202234,0.16679421727024193,0.1972267942804909,6.4557099126424875,8.013443331935527,2.9047891084349637,3.6625362059848747,2333.768184636735,0.00655881252155391,29.59757645307766,5.223039704579648,223.47955137595602,0.28681752093183616
min,3.0,34.0,-30845.8329,379.366,384.9906,0.0428,0.0105,0.0109,0.0233,0.0005,0.0143,0.0167,0.0122,0.0013,0.0178,0.0401,0.0226,0.005,0.0075,0.0024,0.0162,0.0221,0.0002,0.0066,0.0322,0.6358,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.058536585365853655
25%,10.0,66.5,-6576.213975,3083.664525,3153.664025,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,1.21175,0.0,0.029380333229592284,0.061185844530490724,1.0,1.0,1.575,1.96875,23.25,0.00010463239606576186,8.0,5.0,15.5,0.2167973286875726
50%,17.0,110.0,-3052.9671,6199.93415,6328.7779,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,1.74265,0.0,0.09911859411668394,0.15856614542760245,3.0,4.0,2.8782720825274017,3.597840103159252,183.5,0.0005480613167676868,15.0,7.0,47.5,0.3431372549019608
75%,36.5,197.75,-1514.61155,13307.7848,13402.902549999999,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,2.69705,0.02945,0.1847681903083565,0.2612276708187659,6.0,7.0,4.201973684210526,5.2524671052631575,841.0,0.001498456155475006,34.5,12.0,149.25,0.5908882783882784
max,166.0,751.0,-187.0789,61985.6657,62550.24,0.2377,0.1183,0.0892,0.0829,0.0739,0.1247,0.1741,0.0917,0.0443,0.0785,0.1443,0.1579,0.0398,0.0536,0.1033,0.2368,0.1006,0.0148,0.0498,0.1452,92.574,0.1424,1.0,1.0,39.0,55.0,22.31373707533235,27.892171344165437,18883.0,0.04710144927536232,164.0,24.0,1194.0,1.0
